p,next_p,gap,log_x,z_gap_over_logx
6553,6563,10,8.787678239039497,1.1379570038846816
6733,6737,4,8.814776088545281,0.45378350621951274
7103,7109,6,8.86827250899781,0.6765691958509799
7333,7349,16,8.9001399880938,1.7977245325808435
7349,7351,2,8.90231952852887,0.2246605498253223
7481,7487,6,8.920121751872404,0.6726365588833529
7499,7507,8,8.92252495730139,0.8966071866746107
7561,7573,12,8.93075873555827,1.343670829693494
7577,7583,6,8.932872621931374,0.6716764308571034
7741,7753,12,8.954286157204713,1.3401403293711664
7907,7919,12,8.975503722070927,1.3369723161600147
8087,8089,2,8.998013113095823,0.22227129199102572
8167,8171,4,9.007856923358275,0.4440567866511733
8171,8179,8,9.008346579384707,0.8880652991646354
8219,8221,2,9.0142038261485,0.22187206308763271
8263,8269,6,9.019542996701185,0.6652221739166214
8941,8951,10,9.098402718735318,1.0990940178332758
9127,9133,6,9.118992332516877,0.6579674355690545
9133,9137,4,9.11964950669168,0.4386133477021173
9161,9173,12,9.122710622015209,1.3153985144548186
9209,9221,12,9.127936545721367,1.3146454228611926
9547,9551,4,9.163982247998034,0.43649146099926606
9787,9791,4,9.18881025342582,0.43531206866620187
9791,9803,12,9.189218875354072,1.3058781342323424
10037,10039,2,9.2140335438138,0.21706020392586675
10141,10151,10,9.224341891611996,1.0840881785933516
10177,10181,4,9.227885551191932,0.4334687483725169
10303,10313,10,9.240190393945069,1.0822287824883805
10499,10501,2,9.259035293514941,0.21600522479926246
10559,10567,8,9.264733855806515,0.8634894563092209
10567,10589,22,9.265491216441031,2.3744019055311805
10831,10837,6,9.290167671835738,0.6458441022748946
10837,10847,10,9.290721483922995,1.076342673419321
10993,11003,10,9.305013985578864,1.0746894110528198
11083,11087,4,9.313167681775653,0.42949940736354897
11087,11093,6,9.313528529772352,0.6442241499362923
11213,11239,26,9.324829098460881,2.7882548543749133
11839,11863,24,9.379154445411636,2.5588660619338675
11887,11897,10,9.383200644980624,1.0657344309640573
11987,12007,20,9.3915780082071,2.1295675745356557
12143,12149,6,9.404508151053818,0.637991897463311
12149,12157,8,9.405002140854743,0.8506111833030318
12253,12263,10,9.413526083949446,1.0623011941349505
12373,12377,4,9.423271958213975,0.42448101017750245
12413,12421,8,9.426499589515949,0.8486713359535404
12433,12437,4,9.428109506952937,0.42426320961271446
12577,12583,6,9.439625028047155,0.6356184681248154
12647,12653,6,9.445175311879977,0.6352449586037122
12823,12829,6,9.458995712459116,0.6343168114662504
13127,13147,20,9.482426456803408,2.109164789319351
13163,13171,8,9.485165142425407,0.8434223210534801
13171,13177,6,9.485772721999046,0.6325262238346726
13267,13291,24,9.493035027916918,2.5281693293473904
13451,13457,6,9.506808731708581,0.6311266134962693
13487,13499,12,9.509481537516857,1.2618984486859286
13841,13859,18,9.535390480896702,1.8877045503339778
13967,13997,30,9.54445268330577,3.1431870422987256
14437,14447,10,9.577549634629815,1.0441083973966285
14969,14983,14,9.613736674915236,1.4562495805121933
15013,15017,4,9.616671771412305,0.4159443199351869
15077,15083,6,9.62092568277892,0.6236406139941155
15107,15121,14,9.622913491543725,1.4548608394227698
15259,15263,4,9.632924771891735,0.41524252443782667
15271,15277,6,9.633710883953182,0.6228129608907162
15629,15641,12,9.656883441842194,1.242636930669096
15649,15661,12,9.658162296163171,1.242472390919249
15767,15773,6,9.665674427237482,0.6207533726867772
15787,15791,4,9.666942095531727,0.41378131372576316
16069,16073,4,9.684647229041753,0.41302485319290044
16363,16369,6,9.702777967428895,0.6183796042887209
16607,16619,12,9.717579572206754,1.234875403986523
16633,16649,16,9.719143952790535,1.646235520094969
16903,16921,18,9.735246399950178,1.84895166085289
17077,17093,16,9.745487807887239,1.641785441160867
17117,17123,6,9.747827400695664,0.6155217725307491
17123,17137,14,9.748177867988971,1.4361658342297123
17393,17401,8,9.763823105408154,0.8193511817690371
17477,17483,6,9.76864100976636,0.6142103076570631
17551,17569,18,9.77286620732769,1.8418342805617876
17581,17597,16,9.774574052442789,1.6368999727411548
17681,17683,2,9.780245895678089,0.20449383597643533
17939,17957,18,9.79473239269909,1.837722489837195
17977,17981,4,9.796848442046416,0.40829456775432765
18061,18077,16,9.801510196423664,1.6324015054167895
18089,18097,8,9.803059297701635,0.8160717748464126
18133,18143,10,9.805488761654026,1.0198369752976153
18149,18169,20,9.806370741756401,2.039490503335573
18289,18301,12,9.814055065204576,1.2227361595458766
18481,18493,12,9.824498456285756,1.2214363973279825
18523,18539,16,9.826768482122723,1.6282056536803409
18587,18593,6,9.830217690608354,0.6103628819667252
18757,18773,16,9.839322295060342,1.6261282556048111
18793,18797,4,9.8412397390566,0.40645285615036214
19441,19447,6,9.87513951702064,0.6075863525430188
19463,19469,6,9.876270506242575,0.6075167742932447
19553,19559,6,9.880884006326275,0.6072331176196863
19597,19603,6,9.883131772279054,0.6070950118088325
19777,19793,16,9.892274925322026,1.6174237089836188
20011,20021,10,9.904037401341563,1.0096892403339912
20021,20023,2,9.904537001671699,0.20192766200605217
20047,20051,4,9.905834795604477,0.4038024136819769
20101,20107,6,9.908524844053396,0.6055391790838474
20369,20389,20,9.92176941621414,2.015769482338103
20411,20431,20,9.923829250194043,2.0153510802907997
20431,20441,10,9.924808634239811,1.0075761023241077
20731,20743,12,9.939385443533112,1.2073181051457855
20887,20897,10,9.946882234855318,1.0053401421561572
21023,21031,8,9.953372355465126,0.8037476861405087
21139,21143,4,9.958874954615686,0.4016517948291038
21341,21347,6,9.96838538411397,0.6019028928758962
21523,21529,6,9.97687740976418,0.6013905707739693
21529,21557,28,9.977156142461329,2.8064109251368796
21937,21943,6,9.995929987925688,0.6002443001549167
