window,midpoint,count,mean_gap,mean_expected,mean_residual,mae,rmse,relative_drift,model
14,362556.775,1928,12.952282157676349,12.939168617294534,0.013113540381813575,7.845846309271176,10.773835867498665,0.6063640208524984,combined
15,387553.725,1955,12.791815856777493,12.83658198594141,-0.04476612916391592,7.599427429406734,10.067419078571934,0.5920133130244177,combined
16,412550.67500000005,1918,13.02919708029197,13.02182674795637,0.007370332335600234,7.8581888772526804,10.4731343208866,0.60346286503051,combined
17,437547.625,1928,12.971991701244812,12.902926164212085,0.06906553703272925,7.8449272334623075,10.340299926269223,0.6079959796422936,combined
18,462544.575,1910,13.080628272251309,13.099421399913552,-0.018793127662243145,7.646362446529309,10.10723166591062,0.5837175714172971,combined
19,487541.525,1920,13.015625,13.038634661784208,-0.023009661784208577,7.709123106466298,10.249298679885957,0.5912523286706908,combined
20,512538.47500000003,1906,13.117523609653725,13.10748123357159,0.010042376082133054,7.812711637159862,10.43373333725243,0.5960498052936,combined
21,537535.425,1879,13.30814262905801,13.317206167162192,-0.009063538104182069,8.265857527846048,11.13959979141441,0.620690062471823,combined
22,562532.375,1880,13.28936170212766,13.264060929183378,0.025300772944280226,8.18361688392161,10.91582395175863,0.6169767258770763,combined
23,587529.325,1894,13.204857444561775,13.209483665132947,-0.0046262205711731196,8.02255648265766,10.462475708759833,0.6073330862911451,combined
24,612526.275,1888,13.236228813559322,13.289747379993853,-0.05351856643452935,8.11043538228714,10.944396832990742,0.6102776185570271,combined
25,637523.2250000001,1846,13.556879739978331,13.576483973945539,-0.01960423396720693,8.426542328457248,11.226425302642859,0.6206719165749042,combined
26,662520.175,1853,13.475445223961144,13.413656592366763,0.06178863159438125,8.073747504532061,10.574703583041385,0.6019050397582524,combined
27,687517.125,1858,13.454251883745963,13.425541591961723,0.02871029178424066,8.098564438674824,10.768409627011376,0.6032206882084875,combined
28,712514.075,1875,13.3408,13.397488544186682,-0.056688544186681816,7.984863983197079,10.600346543533801,0.5959970748892186,combined
29,737511.025,1819,13.731720725673448,13.705094264512626,0.026626461160820705,8.33460934227324,11.175651904012408,0.6081395123165635,combined
30,762507.9750000001,1865,13.398391420911528,13.424238438018323,-0.025847017106795916,8.061903355406743,10.511175451518556,0.600548283809896,combined
31,787504.925,1848,13.530303030303031,13.471035564805002,0.059267465498028644,8.3426925309268,10.980970783362686,0.6193059539329904,combined
32,812501.875,1845,13.544715447154472,13.570745879347818,-0.02603043219334667,8.208772858408265,11.08781561847291,0.604887375490577,combined
33,837498.825,1821,13.733113673805601,13.734747861884948,-0.0016341880793459564,8.52674231995084,11.634171696934388,0.6208153513770172,combined
34,862495.775,1831,13.654833424358275,13.623848910285655,0.03098451407261835,8.258765833858217,10.964216383821329,0.6061991650261962,combined
35,887492.7250000001,1826,13.68565169769989,13.693219640415235,-0.007567942715344096,8.328513529161803,10.904613708978854,0.6082217146784369,combined
36,912489.675,1832,13.64410480349345,13.673580434886576,-0.029475631393125968,8.448230651491386,10.943932887709078,0.617850656726068,combined
37,937486.625,1799,13.891050583657588,13.881133048551467,0.009917535106120241,8.30605946653106,11.065719417916728,0.5983704239041077,combined
38,962483.575,1818,13.749174917491748,13.797854891225398,-0.048679973733649115,8.485139041069303,11.09591754746727,0.6149607390396125,combined
39,987480.525,1774,14.092446448703495,13.765858478649891,0.3265879700536054,8.544528413252669,11.327784486676256,0.620704362645074,combined
