x,observed_count,prime_count,density_drift,name,scenario
5890,191,775,0.7535483870967742,missing_keep_25,missing
6575,206,850,0.7576470588235295,missing_keep_25,missing
7341,235,935,0.7486631016042781,missing_keep_25,missing
8196,258,1028,0.7490272373540856,missing_keep_25,missing
9151,285,1134,0.7486772486772487,missing_keep_25,missing
10216,327,1253,0.7390263367916999,missing_keep_25,missing
11406,358,1376,0.7398255813953488,missing_keep_25,missing
12735,401,1519,0.7360105332455563,missing_keep_25,missing
14218,442,1671,0.7354877318970676,missing_keep_25,missing
15874,484,1848,0.7380952380952381,missing_keep_25,missing
17722,530,2034,0.7394296951819076,missing_keep_25,missing
19786,580,2239,0.7409557838320678,missing_keep_25,missing
22090,637,2475,0.7426262626262626,missing_keep_25,missing
24663,702,2730,0.7428571428571429,missing_keep_25,missing
27535,775,3007,0.7422680412371134,missing_keep_25,missing
30742,848,3315,0.7441930618401207,missing_keep_25,missing
34322,934,3668,0.7453653217011995,missing_keep_25,missing
38319,1031,4044,0.7450544015825915,missing_keep_25,missing
42781,1132,4473,0.7469260004471272,missing_keep_25,missing
47763,1240,4923,0.7481210643916312,missing_keep_25,missing
53325,1378,5439,0.7466446037874609,missing_keep_25,missing
59535,1526,6018,0.7464273845131273,missing_keep_25,missing
66469,1677,6628,0.7469824984912492,missing_keep_25,missing
74209,1864,7323,0.7454595111293186,missing_keep_25,missing
82851,2053,8097,0.7464493022106953,missing_keep_25,missing
92500,2274,8935,0.7454952434247342,missing_keep_25,missing
103272,2506,9872,0.7461507293354943,missing_keep_25,missing
115298,2759,10895,0.7467645709040844,missing_keep_25,missing
128725,3048,12051,0.747074931540951,missing_keep_25,missing
143716,3337,13321,0.7494932812851888,missing_keep_25,missing
160453,3691,14721,0.7492697506962842,missing_keep_25,missing
179138,4066,16260,0.7499384993849938,missing_keep_25,missing
200000,4496,17984,0.75,missing_keep_25,missing
100,25,25,0.0,noise_10,noise
111,29,29,0.0,noise_10,noise
124,30,30,0.0,noise_10,noise
139,34,34,0.0,noise_10,noise
155,36,36,0.0,noise_10,noise
173,41,40,0.025,noise_10,noise
193,46,44,0.045454545454545456,noise_10,noise
216,49,47,0.0425531914893617,noise_10,noise
241,55,53,0.03773584905660377,noise_10,noise
