source,sample,mode,incremental_error_reduction
iid_shuffle,45,3,0.1318676265189071
iid_shuffle,45,4,0.1647473852998733
iid_shuffle,45,5,0.17021628031961383
iid_shuffle,45,6,0.021205041182478256
iid_shuffle,45,7,0.009082197963238042
iid_shuffle,45,8,3.333838193690816e-16
iid_shuffle,46,1,0.2186611032424851
iid_shuffle,46,2,0.17521831636459628
iid_shuffle,46,3,0.204940798414379
iid_shuffle,46,4,0.15655619493165482
iid_shuffle,46,5,0.11923851216822656
iid_shuffle,46,6,0.0974432273162077
iid_shuffle,46,7,0.02794184756244867
iid_shuffle,46,8,1.1534984745440903e-15
iid_shuffle,47,1,0.2581897754787388
iid_shuffle,47,2,0.19349569890557938
iid_shuffle,47,3,0.14482783921697112
iid_shuffle,47,4,0.15460703572295467
iid_shuffle,47,5,0.10118398203330647
iid_shuffle,47,6,0.12368263244595579
iid_shuffle,47,7,0.024013036196491363
iid_shuffle,47,8,1.8086647451299337e-15
iid_shuffle,48,1,0.23084644644159624
iid_shuffle,48,2,0.19993441625522934
iid_shuffle,48,3,0.18058698445390126
iid_shuffle,48,4,0.2590070797016716
iid_shuffle,48,5,0.05214833238146256
iid_shuffle,48,6,0.025983684082415193
iid_shuffle,48,7,0.05149305668372287
iid_shuffle,48,8,8.309734835572544e-17
iid_shuffle,49,1,0.22412656048630364
iid_shuffle,49,2,0.2029035555985087
iid_shuffle,49,3,0.19088963859602276
iid_shuffle,49,4,0.10520903019836142
iid_shuffle,49,5,0.13193053638249846
iid_shuffle,49,6,0.1441348568407147
iid_shuffle,49,7,0.0008058218975891874
iid_shuffle,49,8,1.0101747490009577e-16
iid_shuffle,50,1,0.20005493971025212
iid_shuffle,50,2,0.2083261146225126
iid_shuffle,50,3,0.13716298496992618
iid_shuffle,50,4,0.1313672607790045
iid_shuffle,50,5,0.1027474664623299
iid_shuffle,50,6,0.20898842534022413
iid_shuffle,50,7,0.011352808115744621
iid_shuffle,50,8,9.911944090348478e-17
iid_shuffle,51,1,0.24529466133502742
iid_shuffle,51,2,0.19906180070457047
iid_shuffle,51,3,0.14192143195888257
iid_shuffle,51,4,0.17617080387505468
iid_shuffle,51,5,0.11651060732991596
iid_shuffle,51,6,0.05819902968669867
iid_shuffle,51,7,0.06284166510984854
iid_shuffle,51,8,8.143569590698858e-16
iid_shuffle,52,1,0.19638920695750872
iid_shuffle,52,2,0.17190300721574392
iid_shuffle,52,3,0.13804614829271805
iid_shuffle,52,4,0.14619867368409833
iid_shuffle,52,5,0.1786734410914192
iid_shuffle,52,6,0.1624372106409749
iid_shuffle,52,7,0.006352312117533711
iid_shuffle,52,8,7.659683260622908e-17
iid_shuffle,53,1,0.29983908738699006
iid_shuffle,53,2,0.26584895870538544
iid_shuffle,53,3,0.12309977732614324
iid_shuffle,53,4,0.13855826487525372
iid_shuffle,53,5,0.059454989390516313
iid_shuffle,53,6,0.09192729983004469
iid_shuffle,53,7,0.02127162248566544
iid_shuffle,53,8,3.9181815449869246e-16
iid_shuffle,54,1,0.23185606501937817
iid_shuffle,54,2,0.16566422882670473
iid_shuffle,54,3,0.18108664487260956
iid_shuffle,54,4,0.15924232655933757
iid_shuffle,54,5,0.12256688521927173
iid_shuffle,54,6,0.05973483302113981
iid_shuffle,54,7,0.07984901648155712
iid_shuffle,54,8,2.11753430160116e-16
iid_shuffle,55,1,0.25109056904458005
iid_shuffle,55,2,0.14753131167463884
iid_shuffle,55,3,0.14325587084065322
iid_shuffle,55,4,0.1408936143122288
iid_shuffle,55,5,0.16074547570650422
iid_shuffle,55,6,0.12395104368801177
iid_shuffle,55,7,0.03253211473338081
iid_shuffle,55,8,1.5266256647134566e-15
iid_shuffle,56,1,0.21870387383534584
iid_shuffle,56,2,0.2057613602207754
iid_shuffle,56,3,0.14772082657652752
iid_shuffle,56,4,0.14353092316388083
iid_shuffle,56,5,0.11958050315394203
iid_shuffle,56,6,0.10757680557475599
iid_shuffle,56,7,0.05712570747477095
iid_shuffle,56,8,6.551224806536413e-17
iid_shuffle,57,1,0.23905004805791352
iid_shuffle,57,2,0.16713874021658837
iid_shuffle,57,3,0.19606161893958102
iid_shuffle,57,4,0.16540871890240838
iid_shuffle,57,5,0.11886913695068985
iid_shuffle,57,6,0.09108144932074057
iid_shuffle,57,7,0.022390287612077103
iid_shuffle,57,8,2.3946259573189773e-19
iid_shuffle,58,1,0.2343399068530465
iid_shuffle,58,2,0.19299982301933905
iid_shuffle,58,3,0.16298384223673124
iid_shuffle,58,4,0.20940935604561253
iid_shuffle,58,5,0.10127555151929231
iid_shuffle,58,6,0.07219199752698743
iid_shuffle,58,7,0.026799522798990068
iid_shuffle,58,8,6.413779038450047e-17
iid_shuffle,59,1,0.3002825809353936
iid_shuffle,59,2,0.1590467834165168
iid_shuffle,59,3,0.2054062440271735
iid_shuffle,59,4,0.17261951046290755
iid_shuffle,59,5,0.11219584587667461
iid_shuffle,59,6,0.035421787751450905
iid_shuffle,59,7,0.015027247529882128
iid_shuffle,59,8,3.1160882076435885e-16
iid_shuffle,60,1,0.19718544861636067
iid_shuffle,60,2,0.22453541378085462
iid_shuffle,60,3,0.13256595567330215
iid_shuffle,60,4,0.14358539760427347
iid_shuffle,60,5,0.13316110356957492
iid_shuffle,60,6,0.11906813356728448
iid_shuffle,60,7,0.0498985471883488
iid_shuffle,60,8,1.8585372605618237e-17
iid_shuffle,61,1,0.24324274933574752
iid_shuffle,61,2,0.16063623414258277
iid_shuffle,61,3,0.18478177955317193
iid_shuffle,61,4,0.1477372355030444
