state_n,state_n_plus_1,state_n_plus_2,empirical_P_c_given_ab,first_order_P_c_given_b,delta,abs_delta,support_count_ab
3,5,2,0.14551371455137146,0.1360339547628002,0.009479759788571268,0.009479759788571268,2151
1,0,4,0.15638494756323257,0.1469324164607285,0.009452531102504075,0.009452531102504075,3242
5,6,7,0.12377994676131322,0.1143286949981196,0.009451251763193627,0.009451251763193627,2254
7,0,6,0.12037357315807679,0.1297410551198023,-0.009367481961725516,0.009367481961725516,2891
7,6,2,0.12197437114380635,0.1313060763982163,-0.009331705254409933,0.009331705254409933,2107
2,2,6,0.14213197969543148,0.13286412722290872,0.009267852472522764,0.009267852472522764,2167
5,0,4,0.1561535068372298,0.1469324164607285,0.009221090376501317,0.009221090376501317,2267
4,2,3,0.1375579598145286,0.14672540697362058,-0.009167447159091985,0.009167447159091985,1941
2,4,4,0.11299153807864609,0.10385214634932574,0.00913939172932035,0.00913939172932035,2009
4,3,5,0.10648148148148148,0.1155643904797722,-0.009082908998290715,0.009082908998290715,2808
6,1,6,0.13496477567667778,0.14403911244828882,-0.009074336771611041,0.009074336771611041,2697
7,2,7,0.11702986279257466,0.12598721323805942,-0.008957350445484763,0.008957350445484763,2478
5,4,0,0.15950445218737902,0.15059367109009833,0.00891078109728069,0.00891078109728069,2583
7,3,0,0.12081447963800905,0.11191102992532101,0.008903449712688041,0.008903449712688041,2210
7,6,1,0.1537731371618415,0.144898726696395,0.008874410465446486,0.008874410465446486,2107
6,6,7,0.1055956678700361,0.1143286949981196,-0.008733027128083493,0.008733027128083493,2216
3,6,5,0.1346394330971238,0.12598721323805942,0.008652219859064392,0.008652219859064392,2399
6,7,5,0.12077067669172932,0.11211990974535296,0.008650766946376356,0.008650766946376356,2128
6,1,7,0.12569521690767518,0.13431472626658786,-0.008619509358912675,0.008619509358912675,2697
4,1,7,0.1429270680372002,0.13431472626658786,0.008612341770612347,0.008612341770612347,2043
4,5,1,0.13769751693002258,0.12910331488744425,0.008594202042578325,0.008594202042578325,2658
1,2,4,0.09935379644588045,0.10793531402783,-0.008581517581949555,0.008581517581949555,2476
0,4,2,0.11261425959780622,0.10428195347337882,0.008332306124427397,0.008332306124427397,2735
2,3,0,0.10362504577077994,0.11191102992532101,-0.00828598415454107,0.00828598415454107,2731
3,4,5,0.13452757288373726,0.14280341696663623,-0.00827584408289897,0.00827584408289897,2847
6,3,4,0.16127677446451072,0.1530113361628969,0.008265438301613831,0.008265438301613831,2381
7,2,5,0.129136400322841,0.13732337613495943,-0.008186975812118441,0.008186975812118441,2478
7,3,2,0.14027149321266968,0.14839090957932627,-0.008119416366656584,0.008119416366656584,2210
7,0,0,0.07021791767554479,0.06210379284409584,0.008114124831448952,0.008114124831448952,2891
2,4,5,0.15082130413140865,0.14280341696663623,0.00801788716477242,0.00801788716477242,2009
6,5,1,0.12110874200426439,0.12910331488744425,-0.007994572883179868,0.007994572883179868,2345
6,2,2,0.12438625204582651,0.11642400472787837,0.007962247317948146,0.007962247317948146,2444
3,7,1,0.14266900790166814,0.13484474051788975,0.007824267383778394,0.007824267383778394,2278
3,1,5,0.11425682507583418,0.12201149734056842,-0.007754672264734239,0.007754672264734239,1978
5,2,3,0.13902053712480253,0.14672540697362058,-0.007704869848818047,0.007704869848818047,2532
6,6,2,0.12364620938628158,0.1313060763982163,-0.007659867011934704,0.007659867011934704,2216
1,7,7,0.1116,0.10395401310841303,0.007645986891586978,0.007645986891586978,2500
1,6,7,0.12196941439761283,0.1143286949981196,0.007640719399493234,0.007640719399493234,2681
4,4,6,0.10346611484738748,0.11110514156772149,-0.007639026720334008,0.007639026720334008,1933
2,5,7,0.12206572769953052,0.11443614677913286,0.007629580920397658,0.007629580920397658,2556
4,7,1,0.142433234421365,0.13484474051788975,0.007588493903475241,0.007588493903475241,2359
6,3,1,0.11381772364552709,0.10626981142212433,0.0075479122234027585,0.0075479122234027585,2381
7,6,7,0.10678690080683437,0.1143286949981196,-0.007541794191285228,0.007541794191285228,2107
1,3,5,0.10809476801579466,0.1155643904797722,-0.007469622463977532,0.007469622463977532,2026
1,5,2,0.12857771906649054,0.1360339547628002,-0.007456235696309654,0.007456235696309654,2271
6,5,4,0.13134328358208955,0.1387739751786386,-0.007430691596549049,0.007430691596549049,2345
7,6,0,0.13336497389653537,0.12598721323805942,0.007377760658475951,0.007377760658475951,2107
3,5,7,0.12180381218038122,0.11443614677913286,0.007367665401248363,0.007367665401248363,2151
2,7,1,0.1275053304904051,0.13484474051788975,-0.007339410027484644,0.007339410027484644,2345
7,7,6,0.10594315245478036,0.11319436982916084,-0.007251217374380475,0.007251217374380475,1935
5,3,2,0.1556053811659193,0.14839090957932627,0.007214471586593024,0.007214471586593024,2230
7,7,4,0.1359173126614987,0.1287203180401848,0.007196994621313901,0.007196994621313901,1935
1,4,3,0.14369215781782757,0.1508623005426315,-0.0071701427248039296,0.0071701427248039296,2053
5,1,5,0.11485642946317104,0.12201149734056842,-0.007155067877397378,0.007155067877397378,2403
4,5,7,0.12151993980436418,0.11443614677913286,0.007083793025231322,0.007083793025231322,2658
7,2,4,0.10088781275221953,0.10793531402783,-0.007047501275610477,0.007047501275610477,2478
6,7,4,0.12171052631578948,0.1287203180401848,-0.007009791724395323,0.007009791724395323,2128
5,0,2,0.09042787825319806,0.09734608359299451,-0.006918205339796452,0.006918205339796452,2267
3,4,4,0.09694415173867228,0.10385214634932574,-0.006907994610653459,0.006907994610653459,2847
1,0,6,0.1366440468846391,0.1297410551198023,0.006902991764836802,0.006902991764836802,3242
7,6,3,0.12102515424774561,0.12792134529629828,-0.006896191048552672,0.006896191048552672,2107
2,0,7,0.16475095785440613,0.15789190931556893,0.0068590485388372036,0.0068590485388372036,1827
