candidate,bin_left,bin_right,score,scenario,kind,stage
71963,68751,75001,0.9159312184300654,mixed_keep_75_noise_25,mixed,density_reconstruction
83921,81251,87501,0.9156531674553304,mixed_keep_75_noise_25,mixed,density_reconstruction
97103,93751,100001,0.9155403096579339,mixed_keep_75_noise_25,mixed,density_reconstruction
2963,2,6251,0.9154583230047943,mixed_keep_75_noise_25,mixed,density_reconstruction
9337,6251,12501,0.9150817830235841,mixed_keep_75_noise_25,mixed,density_reconstruction
27893,25001,31251,0.9150317496771085,mixed_keep_75_noise_25,mixed,density_reconstruction
152791,150000,156250,0.9149727489610223,mixed_keep_75_noise_25,mixed,density_reconstruction
28817,25001,31251,0.9148601404447719,mixed_keep_75_noise_25,mixed,density_reconstruction
46411,43751,50001,0.9148570497442563,mixed_keep_75_noise_25,mixed,density_reconstruction
96233,93751,100001,0.9145551662524135,mixed_keep_75_noise_25,mixed,density_reconstruction
171529,168750,175000,0.9142732326576563,mixed_keep_75_noise_25,mixed,density_reconstruction
34583,31251,37501,0.9140974638365429,mixed_keep_75_noise_25,mixed,density_reconstruction
135101,131250,137500,0.9139953321034148,mixed_keep_75_noise_25,mixed,density_reconstruction
115211,112500,118750,0.9139276672083348,mixed_keep_75_noise_25,mixed,density_reconstruction
134341,131250,137500,0.9134924091294011,mixed_keep_75_noise_25,mixed,density_reconstruction
65101,62501,68751,0.9132573177409192,mixed_keep_75_noise_25,mixed,density_reconstruction
65099,62501,68751,0.9130340128392664,mixed_keep_75_noise_25,mixed,density_reconstruction
116329,112500,118750,0.9126355620939,mixed_keep_75_noise_25,mixed,density_reconstruction
109441,106250,112500,0.9125247547964076,mixed_keep_75_noise_25,mixed,density_reconstruction
171103,168750,175000,0.9122942852078807,mixed_keep_75_noise_25,mixed,density_reconstruction
9371,6251,12501,0.9121342887453379,mixed_keep_75_noise_25,mixed,density_reconstruction
184321,181250,187500,0.9118740936891176,mixed_keep_75_noise_25,mixed,density_reconstruction
3307,2,6251,0.9111874849922066,mixed_keep_75_noise_25,mixed,density_reconstruction
46261,43751,50001,0.911095207347835,mixed_keep_75_noise_25,mixed,density_reconstruction
16339,12501,18751,0.9110484673917045,mixed_keep_75_noise_25,mixed,density_reconstruction
21569,18751,25001,0.9106138960479958,mixed_keep_75_noise_25,mixed,density_reconstruction
77611,75001,81251,0.9105713757847648,mixed_keep_75_noise_25,mixed,density_reconstruction
91297,87501,93751,0.9100432206446594,mixed_keep_75_noise_25,mixed,density_reconstruction
9403,6251,12501,0.9096173810484209,mixed_keep_75_noise_25,mixed,density_reconstruction
190657,187500,193750,0.9095195939826834,mixed_keep_75_noise_25,mixed,density_reconstruction
190591,187500,193750,0.9092998402741199,mixed_keep_75_noise_25,mixed,density_reconstruction
2903,2,6251,0.9091870548466248,mixed_keep_75_noise_25,mixed,density_reconstruction
9343,6251,12501,0.9090434826482582,mixed_keep_75_noise_25,mixed,density_reconstruction
84247,81251,87501,0.9089951695489863,mixed_keep_75_noise_25,mixed,density_reconstruction
147293,143750,150000,0.9089085872314809,mixed_keep_75_noise_25,mixed,density_reconstruction
52981,50001,56251,0.9089067240211945,mixed_keep_75_noise_25,mixed,density_reconstruction
96989,93751,100001,0.9088606090155379,mixed_keep_75_noise_25,mixed,density_reconstruction
9413,6251,12501,0.908480903998705,mixed_keep_75_noise_25,mixed,density_reconstruction
140549,137500,143750,0.9082271351435902,mixed_keep_75_noise_25,mixed,density_reconstruction
128213,125000,131250,0.9080294241907305,mixed_keep_75_noise_25,mixed,density_reconstruction
178933,175000,181250,0.907161864480742,mixed_keep_75_noise_25,mixed,density_reconstruction
171811,168750,175000,0.9071490002803396,mixed_keep_75_noise_25,mixed,density_reconstruction
158551,156250,162500,0.9070579276525895,mixed_keep_75_noise_25,mixed,density_reconstruction
85061,81251,87501,0.9066125143718015,mixed_keep_75_noise_25,mixed,density_reconstruction
178939,175000,181250,0.9064906281313981,mixed_keep_75_noise_25,mixed,density_reconstruction
84221,81251,87501,0.9060884265526529,mixed_keep_75_noise_25,mixed,density_reconstruction
35099,31251,37501,0.9059623498415824,mixed_keep_75_noise_25,mixed,density_reconstruction
83833,81251,87501,0.9058188078180985,mixed_keep_75_noise_25,mixed,density_reconstruction
134417,131250,137500,0.9056621928365779,mixed_keep_75_noise_25,mixed,density_reconstruction
178021,175000,181250,0.9054460159852052,mixed_keep_75_noise_25,mixed,density_reconstruction
165541,162500,168750,0.905349069320467,mixed_keep_75_noise_25,mixed,density_reconstruction
146051,143750,150000,0.9049917124766342,mixed_keep_75_noise_25,mixed,density_reconstruction
139801,137500,143750,0.9038875306637368,mixed_keep_75_noise_25,mixed,density_reconstruction
15349,12501,18751,0.9037943905705554,mixed_keep_75_noise_25,mixed,density_reconstruction
121379,118750,125000,0.9037509308950331,mixed_keep_75_noise_25,mixed,density_reconstruction
41161,37501,43751,0.9036723003333105,mixed_keep_75_noise_25,mixed,density_reconstruction
15607,12501,18751,0.9033198430327052,mixed_keep_75_noise_25,mixed,density_reconstruction
34679,31251,37501,0.9032970681321943,mixed_keep_75_noise_25,mixed,density_reconstruction
14869,12501,18751,0.9031913037798432,mixed_keep_75_noise_25,mixed,density_reconstruction
77431,75001,81251,0.9030025566929222,mixed_keep_75_noise_25,mixed,density_reconstruction
146033,143750,150000,0.9029730878361671,mixed_keep_75_noise_25,mixed,density_reconstruction
178223,175000,181250,0.9029097114958515,mixed_keep_75_noise_25,mixed,density_reconstruction
9227,6251,12501,0.9023881400612368,mixed_keep_75_noise_25,mixed,density_reconstruction
122021,118750,125000,0.902160805612399,mixed_keep_75_noise_25,mixed,density_reconstruction
116423,112500,118750,0.9021303756207935,mixed_keep_75_noise_25,mixed,density_reconstruction
158507,156250,162500,0.9021207629308534,mixed_keep_75_noise_25,mixed,density_reconstruction
83653,81251,87501,0.9019157149194033,mixed_keep_75_noise_25,mixed,density_reconstruction
9221,6251,12501,0.9016959915651128,mixed_keep_75_noise_25,mixed,density_reconstruction
158909,156250,162500,0.9011626747002613,mixed_keep_75_noise_25,mixed,density_reconstruction
141121,137500,143750,0.9009514333401838,mixed_keep_75_noise_25,mixed,density_reconstruction
177257,175000,181250,0.9006732027479364,mixed_keep_75_noise_25,mixed,density_reconstruction
65357,62501,68751,0.9005716996643401,mixed_keep_75_noise_25,mixed,density_reconstruction
52501,50001,56251,0.9003398782616733,mixed_keep_75_noise_25,mixed,density_reconstruction
152657,150000,156250,0.8999430452467804,mixed_keep_75_noise_25,mixed,density_reconstruction
9941,6251,12501,0.8999219433307458,mixed_keep_75_noise_25,mixed,density_reconstruction
34039,31251,37501,0.8998139111495529,mixed_keep_75_noise_25,mixed,density_reconstruction
114809,112500,118750,0.8997546833502454,mixed_keep_75_noise_25,mixed,density_reconstruction
3407,2,6251,0.8993586975858845,mixed_keep_75_noise_25,mixed,density_reconstruction
139759,137500,143750,0.8991756779209898,mixed_keep_75_noise_25,mixed,density_reconstruction
146369,143750,150000,0.8991681935243337,mixed_keep_75_noise_25,mixed,density_reconstruction
58711,56251,62501,0.8989156392652105,mixed_keep_75_noise_25,mixed,density_reconstruction
22291,18751,25001,0.8989043420196204,mixed_keep_75_noise_25,mixed,density_reconstruction
14831,12501,18751,0.8988572616072554,mixed_keep_75_noise_25,mixed,density_reconstruction
97081,93751,100001,0.898544105097968,mixed_keep_75_noise_25,mixed,density_reconstruction
27271,25001,31251,0.8980335260926895,mixed_keep_75_noise_25,mixed,density_reconstruction
133843,131250,137500,0.8978924393164249,mixed_keep_75_noise_25,mixed,density_reconstruction
59651,56251,62501,0.8976468877294456,mixed_keep_75_noise_25,mixed,density_reconstruction
102317,100001,106250,0.897602891965177,mixed_keep_75_noise_25,mixed,density_reconstruction
115429,112500,118750,0.8972706340750486,mixed_keep_75_noise_25,mixed,density_reconstruction
47609,43751,50001,0.8971850502208033,mixed_keep_75_noise_25,mixed,density_reconstruction
115823,112500,118750,0.8970067881883191,mixed_keep_75_noise_25,mixed,density_reconstruction
46559,43751,50001,0.8968051960283518,mixed_keep_75_noise_25,mixed,density_reconstruction
109453,106250,112500,0.8966442609875555,mixed_keep_75_noise_25,mixed,density_reconstruction
197359,193750,200000,0.8964149829722318,mixed_keep_75_noise_25,mixed,density_reconstruction
103951,100001,106250,0.8961094985068822,mixed_keep_75_noise_25,mixed,density_reconstruction
90583,87501,93751,0.8959205035388563,mixed_keep_75_noise_25,mixed,density_reconstruction
128683,125000,131250,0.8957100219743218,mixed_keep_75_noise_25,mixed,density_reconstruction
116201,112500,118750,0.8956201174917647,mixed_keep_75_noise_25,mixed,density_reconstruction
109597,106250,112500,0.8950355404201789,mixed_keep_75_noise_25,mixed,density_reconstruction
64937,62501,68751,0.894946728420447,mixed_keep_75_noise_25,mixed,density_reconstruction
108529,106250,112500,0.8949437284114806,mixed_keep_75_noise_25,mixed,density_reconstruction
147419,143750,150000,0.894780860413615,mixed_keep_75_noise_25,mixed,density_reconstruction
96259,93751,100001,0.8947128868193899,mixed_keep_75_noise_25,mixed,density_reconstruction
122753,118750,125000,0.8945295867069945,mixed_keep_75_noise_25,mixed,density_reconstruction
21943,18751,25001,0.8936378419232551,mixed_keep_75_noise_25,mixed,density_reconstruction
21419,18751,25001,0.8936095850447509,mixed_keep_75_noise_25,mixed,density_reconstruction
9203,6251,12501,0.8935930186392264,mixed_keep_75_noise_25,mixed,density_reconstruction
22817,18751,25001,0.8935577239938517,mixed_keep_75_noise_25,mixed,density_reconstruction
34961,31251,37501,0.893466130022823,mixed_keep_75_noise_25,mixed,density_reconstruction
146669,143750,150000,0.8931440595794466,mixed_keep_75_noise_25,mixed,density_reconstruction
46619,43751,50001,0.8929382005638665,mixed_keep_75_noise_25,mixed,density_reconstruction
191551,187500,193750,0.8922966110421018,mixed_keep_75_noise_25,mixed,density_reconstruction
3467,2,6251,0.8922733745441671,mixed_keep_75_noise_25,mixed,density_reconstruction
140797,137500,143750,0.8922190946189297,mixed_keep_75_noise_25,mixed,density_reconstruction
41269,37501,43751,0.8916462146653212,mixed_keep_75_noise_25,mixed,density_reconstruction
83969,81251,87501,0.8916424986586635,mixed_keep_75_noise_25,mixed,density_reconstruction
108751,106250,112500,0.8915205678143643,mixed_keep_75_noise_25,mixed,density_reconstruction
96779,93751,100001,0.8915034723845802,mixed_keep_75_noise_25,mixed,density_reconstruction
184913,181250,187500,0.8914695225794421,mixed_keep_75_noise_25,mixed,density_reconstruction
16519,12501,18751,0.8912267253270902,mixed_keep_75_noise_25,mixed,density_reconstruction
41443,37501,43751,0.8911807351580361,mixed_keep_75_noise_25,mixed,density_reconstruction
40867,37501,43751,0.8911776255006697,mixed_keep_75_noise_25,mixed,density_reconstruction
2767,2,6251,0.8906410371480564,mixed_keep_75_noise_25,mixed,density_reconstruction
33503,31251,37501,0.8903882590019196,mixed_keep_75_noise_25,mixed,density_reconstruction
109111,106250,112500,0.8903871213320437,mixed_keep_75_noise_25,mixed,density_reconstruction
15761,12501,18751,0.8901996423246453,mixed_keep_75_noise_25,mixed,density_reconstruction
2719,2,6251,0.8900388646136568,mixed_keep_75_noise_25,mixed,density_reconstruction
64891,62501,68751,0.8898065482036834,mixed_keep_75_noise_25,mixed,density_reconstruction
146639,143750,150000,0.8897866492064784,mixed_keep_75_noise_25,mixed,density_reconstruction
34313,31251,37501,0.8889833154381162,mixed_keep_75_noise_25,mixed,density_reconstruction
9103,6251,12501,0.888073503776561,mixed_keep_75_noise_25,mixed,density_reconstruction
2699,2,6251,0.8879665102395181,mixed_keep_75_noise_25,mixed,density_reconstruction
102983,100001,106250,0.887926577773216,mixed_keep_75_noise_25,mixed,density_reconstruction
59399,56251,62501,0.887918551517602,mixed_keep_75_noise_25,mixed,density_reconstruction
140009,137500,143750,0.8876540939239744,mixed_keep_75_noise_25,mixed,density_reconstruction
153379,150000,156250,0.887225088406875,mixed_keep_75_noise_25,mixed,density_reconstruction
22003,18751,25001,0.8868839231004503,mixed_keep_75_noise_25,mixed,density_reconstruction
72701,68751,75001,0.8867599611840173,mixed_keep_75_noise_25,mixed,density_reconstruction
102217,100001,106250,0.8863746532020621,mixed_keep_75_noise_25,mixed,density_reconstruction
15797,12501,18751,0.8861356467345324,mixed_keep_75_noise_25,mixed,density_reconstruction
65657,62501,68751,0.8860894465907734,mixed_keep_75_noise_25,mixed,density_reconstruction
152123,150000,156250,0.8860817978597143,mixed_keep_75_noise_25,mixed,density_reconstruction
15803,12501,18751,0.8854596340182257,mixed_keep_75_noise_25,mixed,density_reconstruction
71119,68751,75001,0.8853355652746427,mixed_keep_75_noise_25,mixed,density_reconstruction
2671,2,6251,0.8850679805348157,mixed_keep_75_noise_25,mixed,density_reconstruction
47207,43751,50001,0.8849885835831136,mixed_keep_75_noise_25,mixed,density_reconstruction
78479,75001,81251,0.8849034966139008,mixed_keep_75_noise_25,mixed,density_reconstruction
8609,6251,12501,0.8845482848890508,mixed_keep_75_noise_25,mixed,density_reconstruction
71837,68751,75001,0.8843691997740767,mixed_keep_75_noise_25,mixed,density_reconstruction
90647,87501,93751,0.8843336759631311,mixed_keep_75_noise_25,mixed,density_reconstruction
184369,181250,187500,0.8841160690906738,mixed_keep_75_noise_25,mixed,density_reconstruction
196853,193750,200000,0.8838047503943323,mixed_keep_75_noise_25,mixed,density_reconstruction
15173,12501,18751,0.8837345154617134,mixed_keep_75_noise_25,mixed,density_reconstruction
95947,93751,100001,0.8824471315352475,mixed_keep_75_noise_25,mixed,density_reconstruction
139609,137500,143750,0.88234886507452,mixed_keep_75_noise_25,mixed,density_reconstruction
102929,100001,106250,0.8818680063125652,mixed_keep_75_noise_25,mixed,density_reconstruction
59453,56251,62501,0.8818632000535498,mixed_keep_75_noise_25,mixed,density_reconstruction
65557,62501,68751,0.8818456006920233,mixed_keep_75_noise_25,mixed,density_reconstruction
135049,131250,137500,0.8818215643612562,mixed_keep_75_noise_25,mixed,density_reconstruction
71011,68751,75001,0.8816529835758953,mixed_keep_75_noise_25,mixed,density_reconstruction
78607,75001,81251,0.8816472285133008,mixed_keep_75_noise_25,mixed,density_reconstruction
47237,43751,50001,0.8816447528496367,mixed_keep_75_noise_25,mixed,density_reconstruction
