transition,anchor_residue,next_residue,z_center,empirical_pdf,exp_pdf,delta
7->19,7,19,0.3,0.0,0.7428864540123261,-0.7428864540123261
7->19,7,19,0.38571428571428573,0.0,0.6818631148576237,-0.6818631148576237
7->19,7,19,0.4714285714285714,0.0,0.6258524501183417,-0.6258524501183417
7->19,7,19,0.5571428571428572,0.0,0.574442700865141,-0.574442700865141
7->19,7,19,0.6428571428571428,0.0,0.5272559315136365,-0.5272559315136365
7->19,7,19,0.7285714285714286,0.0,0.48394525145437756,-0.48394525145437756
7->19,7,19,0.8142857142857143,4.152272727272726,0.4441922649080403,3.708080462364685
7->19,7,19,0.9,4.64545454545455,0.40770473025859444,4.237749815195955
7->19,7,19,0.9857142857142857,1.3681818181818195,0.3742144116571816,0.9939674065246379
7->19,7,19,1.0714285714285714,0.43484848484848415,0.34347510710290213,0.09137337774558202
7->19,7,19,1.157142857142857,0.19090909090909108,0.3152608385040695,-0.12435174759497841
7->19,7,19,1.2428571428571429,0.04242424242424236,0.28936419041427874,-0.24693994799003638
7->19,7,19,1.3285714285714287,0.04242424242424247,0.2655947852306119,-0.22317054280636944
7->19,7,19,1.4142857142857141,0.010606060606060617,0.24377788364449285,-0.23317182303843223
7->19,7,19,1.5,0.005303030303030295,0.22375310005649293,-0.21845006975346265
7->19,7,19,1.5857142857142859,0.0,0.2053732235115413,-0.2053732235115413
7->19,7,19,1.6714285714285715,0.005303030303030295,0.18850313548671466,-0.18320010518368438
7->19,7,19,1.7571428571428571,0.0053030303030303086,0.17301881657579302,-0.1677157862727627
7->19,7,19,1.842857142857143,0.0,0.1588064347682837,-0.1588064347682837
7->19,7,19,1.9285714285714286,0.0,0.14576150862045373,-0.14576150862045373
7->19,7,19,2.0142857142857142,0.0,0.1337881391664733,-0.1337881391664733
7->19,7,19,2.0999999999999996,0.0,0.12279830492311432,-0.12279830492311432
7->19,7,19,2.185714285714286,0.0,0.11271121480527316,-0.11271121480527316
7->19,7,19,2.2714285714285714,0.0,0.10345271419531782,-0.10345271419531782
7->19,7,19,2.357142857142857,0.0,0.09495473980001322,-0.09495473980001322
7->19,7,19,2.442857142857143,0.0,0.08715481928744107,-0.08715481928744107
7->19,7,19,2.5285714285714285,0.0,0.07999561202552476,-0.07999561202552476
7->19,7,19,2.6142857142857143,0.0,0.07342448754592751,-0.07342448754592751
7->19,7,19,2.7,0.0,0.06739313863442749,-0.06739313863442749
7->19,7,19,2.7857142857142856,0.0,0.061857226203427235,-0.061857226203427235
7->19,7,19,2.8714285714285714,0.047727272727272896,0.05677605333590008,-0.009048780608627183
7->19,7,19,2.9571428571428573,0.25454545454545413,0.052112266104527814,0.2024331884409263
7->19,7,19,3.0428571428571427,0.1749999999999997,0.04783157896661976,0.12716842103337994
7->19,7,19,3.1285714285714286,0.07954545454545484,0.043902522716071216,0.03564293182938362
7->19,7,19,3.2142857142857144,0.06893939393939383,0.040296213139445945,0.028643180799947883
