window_left,window_right,window_mid,density_error,gap_drift,instability,gap_multiplier,density_multiplier,w_density,w_gap,w_neighbor,scenario,kind
185002,195002,190002.0,0.008454106280193236,0.6015866241327092,0.33467699109907706,1.5856847344233849,0.6306423832500588,0.26570444012653355,0.5938544016810811,0.1404411581923855,biased_low_missing_high_noise,biased_range
190002,200000,195001.0,0.0012285012285012285,0.6068059486425066,0.3342960973062042,1.5850181702858572,0.6309075938351234,0.2658528394358925,0.5936866335214482,0.14046052704265935,biased_low_missing_high_noise,biased_range
195002,200000,197501.0,0.0,0.5903876175490064,0.3247131896519535,1.5682480818909186,0.6376542152656407,0.2696228465754619,0.5894319827658923,0.14094517065864587,biased_low_missing_high_noise,biased_range
2,10002,5002.0,0.008136696501220505,0.5417200279166433,0.30160752877970304,1.5278131753644804,0.6545302895175233,0.2790079590324923,0.5789013623537095,0.1420906786137983,adversarial_mod6_noise_50,adversarial_mod6
5002,15002,10002.0,0.013824884792626729,0.564428284462694,0.31665675461116377,1.5541493205695365,0.6434388168271619,0.27284725237274216,0.5858042903291372,0.14134845729812068,adversarial_mod6_noise_50,adversarial_mod6
10002,20002,15002.0,0.011616650532429816,0.5678557558246184,0.3175481584431336,1.5557092772754837,0.6427936212807714,0.27248798966959265,0.5862079791720304,0.14130403115837714,adversarial_mod6_noise_50,adversarial_mod6
15002,25002,20002.0,0.008928571428571428,0.5607576720112195,0.31243457674902786,1.5467605093107988,0.6465124975588995,0.2745574383897445,0.5838843605306591,0.1415582010795965,adversarial_mod6_noise_50,adversarial_mod6
20002,30002,25002.0,0.004069175991861648,0.5640904985275872,0.31208090338651073,1.5461415809263936,0.6467712998190213,0.2747013343787436,0.5837229471482762,0.14157571847298014,adversarial_mod6_noise_50,adversarial_mod6
25002,35002,30002.0,0.008247422680412371,0.5787176519836071,0.32200604879716954,1.5635105853950466,0.6395863317723133,0.27070067164595124,0.5882182064900511,0.14108112186399782,adversarial_mod6_noise_50,adversarial_mod6
30002,40002,35002.0,0.014613778705636743,0.5723354368364991,0.3213606906776111,1.5623812086858195,0.6400486606217822,0.2709584562851497,0.5879280769033716,0.14111346681147866,adversarial_mod6_noise_50,adversarial_mod6
35002,45002,40002.0,0.010604453870625663,0.5638328772381317,0.31488008672275397,1.5510401517648194,0.6447286350789633,0.27356517072710423,0.5849979746321837,0.14143685464071215,adversarial_mod6_noise_50,adversarial_mod6
40002,50002,45002.0,0.004301075268817204,0.5784482916845548,0.32008204429747295,1.5601435775205776,0.6409666484601546,0.27147016356389586,0.5873523590452134,0.1411774773908909,adversarial_mod6_noise_50,adversarial_mod6
45002,55002,50002.0,0.0032751091703056767,0.5780364346187171,0.31939383816693195,1.558939216792131,0.6414618281639778,0.2717461086681219,0.5870420027274144,0.14121188860446374,adversarial_mod6_noise_50,adversarial_mod6
50002,60002,55002.0,0.006493506493506494,0.5697821471151328,0.316302258835401,1.5535289529619516,0.64369575996212,0.2729902987112049,0.5856435903135989,0.14136611097519616,adversarial_mod6_noise_50,adversarial_mod6
55002,65002,60002.0,0.009977827050997782,0.5874566645716568,0.3275911876873603,1.5732845784528804,0.6356129168846041,0.26848321492075244,0.590716617876491,0.14080016720275668,adversarial_mod6_noise_50,adversarial_mod6
60002,70002,65002.0,0.010238907849829351,0.5907423287318051,0.32951578933491604,1.5766526313361031,0.6342551175350335,0.2677246665312825,0.5915724001486751,0.1407029333200424,adversarial_mod6_noise_50,adversarial_mod6
65002,75002,70002.0,0.006666666666666667,0.565282151508762,0.31390518332981915,1.5493340708271837,0.6454385912175182,0.27396017056321514,0.5845545540023797,0.1414852754344052,adversarial_mod6_noise_50,adversarial_mod6
70002,80002,75002.0,0.003329633740288568,0.5727957075509205,0.3165359743361361,1.5539379550882382,0.6435263368949736,0.27289597858107817,0.5857495484495604,0.14135447296936143,adversarial_mod6_noise_50,adversarial_mod6
75002,85002,80002.0,0.010180995475113122,0.5888320203258649,0.3284390591430266,1.5747683535002965,0.6350140309698646,0.2681486907294324,0.5910939518728181,0.1407573573977495,adversarial_mod6_noise_50,adversarial_mod6
80002,90002,85002.0,0.014823261117445839,0.593566910379957,0.333132268211827,1.5829814693706972,0.6317193342746726,0.2663069584243671,0.5931733814588844,0.1405196601167486,adversarial_mod6_noise_50,adversarial_mod6
85002,95002,90002.0,0.017045454545454544,0.6012367756051957,0.33835068112831224,1.5921136919745464,0.6280958483309038,0.2642787679011286,0.5954672838076882,0.14025394829118334,adversarial_mod6_noise_50,adversarial_mod6
90002,100002,95002.0,0.014806378132118452,0.6019840709865724,0.33775410920206816,1.5910696911036193,0.6285079815117127,0.2645095915829195,0.5952060103591538,0.14028439805792672,adversarial_mod6_noise_50,adversarial_mod6
95002,105002,100002.0,0.0034602076124567475,0.5837847465641257,0.32263870403587475,1.5646177320627808,0.639133751016363,0.27044827578381353,0.5885023349171333,0.14104938929905325,adversarial_mod6_noise_50,adversarial_mod6
100002,110002,105002.0,0.003484320557491289,0.5861030591796197,0.32392462679966194,1.5668680968994084,0.6382158153445376,0.26993621929183215,0.5890789639728298,0.14098481673533814,adversarial_mod6_noise_50,adversarial_mod6
105002,115002,110002.0,0.0047169811320754715,0.6081570019214201,0.33660899256621507,1.5890657369908765,0.6293005863266823,0.2649534069471086,0.5947037994266744,0.1403427936262169,adversarial_mod6_noise_50,adversarial_mod6
