window_index,midpoint,anchor_mod30,z_center,empirical_pdf,exp_pdf,delta
8,6195.053268536115,17,4.033333333333333,0.0,0.017762490406858282,-0.017762490406858282
8,6195.053268536115,17,4.1,0.0,0.016616933847173034,-0.016616933847173034
8,6195.053268536115,17,4.166666666666666,0.0,0.015545257683838685,-0.015545257683838685
8,6195.053268536115,17,4.233333333333333,0.0,0.01454269714734751,-0.01454269714734751
8,6195.053268536115,17,4.3,0.0,0.013604794762542978,-0.013604794762542978
8,6195.053268536115,17,4.366666666666667,0.0,0.012727380530280517,-0.012727380530280517
8,6195.053268536115,17,4.433333333333334,0.0,0.011906553387232842,-0.011906553387232842
8,6195.053268536115,17,4.5,0.0,0.011138663861408195,-0.011138663861408195
8,6195.053268536115,17,4.566666666666666,0.0,0.01042029784626662,-0.01042029784626662
8,6195.053268536115,17,4.633333333333333,0.0,0.009748261421292348,-0.009748261421292348
8,6195.053268536115,17,4.7,0.0,0.009119566651533231,-0.009119566651533231
8,6195.053268536115,17,4.766666666666667,0.0,0.00853141830297074,-0.00853141830297074
8,6195.053268536115,17,4.833333333333333,0.0,0.00798120141465572,-0.00798120141465572
8,6195.053268536115,17,4.9,0.0,0.00746646967235465,-0.00746646967235465
8,6195.053268536115,17,4.966666666666667,0.0,0.0069849345320145105,-0.0069849345320145105
8,6195.053268536115,17,5.033333333333333,0.0,0.006534455044688131,-0.006534455044688131
8,6195.053268536115,17,5.1,0.0,0.006113028337680839,-0.006113028337680839
8,6195.053268536115,17,5.166666666666666,0.0,0.005718780709596645,-0.005718780709596645
8,6195.053268536115,17,5.233333333333333,0.0,0.005349959299691729,-0.005349959299691729
8,6195.053268536115,17,5.3,0.0,0.005004924294496477,-0.005004924294496477
8,6195.053268536115,17,5.366666666666667,0.0,0.004682141637055892,-0.004682141637055892
8,6195.053268536115,17,5.433333333333334,0.0,0.004380176206373162,-0.004380176206373162
8,6195.053268536115,17,5.5,0.0,0.0040976854367313865,-0.0040976854367313865
8,6195.053268536115,17,5.566666666666666,0.0,0.003833413348524548,-0.003833413348524548
